Title	Venue	Year	Authors
Code querying by UML.	ICPC	2012	["Carlos Noguera", "Coen De Roover", "Andy Kellens", "Viviane Jonckers"]
CriticAL: A critic for APIs and libraries.	ICPC	2012	["Chandan Raj Rupakheti", "Daqing Hou"]
Supporting comprehension experiments with human subjects.	ICPC	2012	["Janet Feigenspan", "Norbert Siegmund"]
SeByte: A semantic clone detection tool for intermediate languages.	ICPC	2012	["Iman Keivanloo", "Chanchal K. Roy", "Juergen Rilling"]
CRat: A refactoring support tool for Form Template Method.	ICPC	2012	["Keisuke Hotta", "Yoshiki Higo", "Hiroshi Igaki", "Shinji Kusumoto"]
Toward structured location of features.	ICPC	2012	["Hiroshi Kazato", "Shinpei Hayashi", "Satoshi Okada", "Shunsuke Miyata", "Takashi Hoshino", "Motoshi Saeki"]
Extraction and improvement of conditionally compiled product line code.	ICPC	2012	["Bo Zhang"]
Applying bioinformatics in the analysis of software variants.	ICPC	2012	["Vasil L. Tenev", "Slawomir Duszynski"]
Parallel code clone detection using MapReduce.	ICPC	2012	["Hitesh Sajnani", "Joel Ossher", "Cristina Videira Lopes"]
Automatic software architecture recovery: A machine learning approach.	ICPC	2012	["Hitesh Sajnani"]
Toward an effective automated tracing process.	ICPC	2012	["Anas Mahmoud"]
Characterization of the Linux configuration system.	ICPC	2012	["Ahmad Jbara"]
Leveraging clone detection for Internet-scale source code search.	ICPC	2012	["Iman Keivanloo"]
IEEE 20th International Conference on Program Comprehension, ICPC 2012, Passau, Germany, June 11-13, 2012.		2012	["Dirk Beyer", "Arie van Deursen", "Michael W. Godfrey"]
Clustering Support for Static Concept Location in Source Code.	ICPC	2011	["Giuseppe Scanniello", "Andrian Marcus"]
Can Better Identifier Splitting Techniques Help Feature Location?	ICPC	2011	["Bogdan Dit", "Latifa Guerrouj", "Denys Poshyvanyk", "Giuliano Antoniol"]
Improving IR-based Traceability Recovery Using Smoothing Filters.	ICPC	2011	["Andrea De Lucia", "Massimiliano Di Penta", "Rocco Oliveto", "Annibale Panichella", "Sebastiano Panichella"]
The Influence of the Task on Programmer Behaviour.	ICPC	2011	["Annie T. T. Ying", "Martin P. Robillard"]
Precise and Scalable Querying of Syntactical Source Code Patterns Using Sample Code Snippets and a Database.	ICPC	2011	["Oleksandr Panchenko", "Jan Karstens", "Hasso Plattner", "Alexander Zeier"]
Is Aspect-Oriented Programming a Rewarding Investment into Future Code Changes? A Socio-technical Study on Development and Maintenance Time.	ICPC	2011	["Stefan Endrikat", "Stefan Hanenberg"]
SmartGroups: Focusing on Task-Relevant Source Artifacts in IDEs.	ICPC	2011	["David R\u00f6thlisberger", "Oscar Nierstrasz", "St\u00e9phane Ducasse"]
Generating Parameter Comments and Integrating with Method Summaries.	ICPC	2011	["Giriprasad Sridhara", "Lori L. Pollock", "K. Vijay-Shanker"]
Design Defects Detection and Correction by Example.	ICPC	2011	["Marouane Kessentini", "Wael Kessentini", "Houari A. Sahraoui", "Mounir Boukadoum", "Ali Ouni"]
Obstacles in Using Frameworks and APIs: An Exploratory Study of Programmers' Newsgroup Discussions.	ICPC	2011	["Daqing Hou", "Lin Li"]
Collective Code Bookmarks for Program Comprehension.	ICPC	2011	["Anja Guzzi", "Lile Hattori", "Michele Lanza", "Martin Pinzger", "Arie van Deursen"]
Trust-Based Requirements Traceability.	ICPC	2011	["Nasir Ali", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc", "Giuliano Antoniol"]
AspectMaps: A Scalable Visualization of Join Point Shadows.	ICPC	2011	["Johan Fabry", "Andy Kellens", "St\u00e9phane Ducasse"]
Reasoning about Faults in Aspect-Oriented Programs: A Metrics-Based Evaluation.	ICPC	2011	["Rachel Burrows", "Fran\u00e7ois Ta\u00efani", "Alessandro Garcia", "Fabiano Cutigi Ferrari"]
Comparison of a Visual and a Textual Notation to Express Data Constraints in Aspect-Oriented Join Point Selections: A Controlled Experiment.	ICPC	2011	["Dominik Stein", "Stefan Hanenberg"]
Exploring Large-Scale System Similarity Using Incremental Clone Detection and Live Scatterplots.	ICPC	2011	["James R. Cordy"]
Software Evolution Comprehension: Replay to the Rescue.	ICPC	2011	["Lile Hattori", "Marco D'Ambros", "Michele Lanza", "Mircea Lungu"]
Feature Profiling for Evolving Systems.	ICPC	2011	["Elmar J\u00fcrgens", "Martin Feilkas", "Markus Herrmannsdoerfer", "Florian Deissenboeck", "Rudolf Vaas", "Karl-Heinz Prommer"]
MTF: A Scalable Exchange Format for Traces of High Performance Computing Systems.	ICPC	2011	["Luay Alawneh", "Abdelwahab Hamou-Lhadj"]
A Lightweight Approach to Uncover Technical Artifacts in Unstructured Data.	ICPC	2011	["Nicolas Bettenburg", "Bram Adams", "Ahmed E. Hassan", "Michel Smidt"]
On Visualization and Comprehension of Scenario-Based Programs.	ICPC	2011	["Nir Eitan", "Michal Gordon", "David Harel", "Assaf Marron", "Gera Weiss"]
Faceted Navigation for Software Exploration.	ICPC	2011	["Nan Niu", "Anas Mahmoud", "Xiaoyong Yang"]
Subvocalization - Toward Hearing the Inner Thoughts of Developers.	ICPC	2011	["Chris Parnin"]
Adding Process Metrics to Enhance Modification Complexity Prediction.	ICPC	2011	["Gabriella Toth", "Adam Zoltan Vegh", "\u00c1rp\u00e1d Besz\u00e9des", "Tibor Gyim\u00f3thy"]
Capturing Expert Knowledge for Automated Configuration Fault Diagnosis.	ICPC	2011	["Mengliao Wang", "Xiaoyu Shi", "Kenny Wong"]
Change Impact Analysis: An Earthquake Metaphor.	ICPC	2011	["Salima Hassaine", "Ferdaous Boughanmi", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc", "Sylvie Hamel", "Giuliano Antoniol"]
Programming from the Reader's Perspective: Toward an Expectations Approach.	ICPC	2011	["Gayani Samaraweera", "Macneil Shonle", "John Quarles"]
Toward Intuitive Programming Languages.	ICPC	2011	["Andreas Stefik", "Susanna Siebert", "Kim Slattery", "Melissa Stefik"]
Industrial Case Study on Supporting the Comprehension of System Behaviour under Load.	ICPC	2011	["Mark D. Syer", "Bram Adams", "Ahmed E. Hassan"]
DebCheck: Efficient Checking for Open Source Code Clones in Software Systems.	ICPC	2011	["James R. Cordy", "Chanchal K. Roy"]
The NiCad Clone Detector.	ICPC	2011	["James R. Cordy", "Chanchal K. Roy"]
Anomaly Detection by Monitoring Filesystem Activities.	ICPC	2011	["Liang Huang", "Kenny Wong"]
SeClone - A Hybrid Approach to Internet-Scale Real-Time Code Clone Search.	ICPC	2011	["Iman Keivanloo", "Juergen Rilling", "Philippe Charland"]
The Concept of Stratified Sampling of Execution Traces.	ICPC	2011	["Heidar Pirzadeh", "Sara Shanian", "Abdelwahab Hamou-Lhadj", "Ali Mehrabian"]
