id,name,page_no,stargazers_count,forks_count,open_issues_count,has_wiki,subscribers_count,github_contributions_count
237,zendframework/zendframework,7,5288,3226,462,1,621,374
238,sequelize,7,5263,1148,637,1,210,400
239,hapi,7,5159,572,12,1,357,140
240,http-proxy,7,4844,844,194,0,191,133
241,factory_girl,8,4515,842,94,1,118,122
242,es5-shim,8,4439,598,32,0,188,65
243,restify,8,4312,518,102,1,193,123
244,uglifyjs,8,4150,472,240,1,220,65
245,monolog/monolog,8,4126,755,39,1,262,206
246,jsdoc,8,4010,577,112,1,189,67
247,chef,8,3963,1630,421,0,355,421
248,liquid,8,3894,532,40,1,288,88
249,nesbot/carbon,8,3778,425,51,1,173,64
250,geocoder,8,,,,,,
251,turbolinks,8,3430,437,25,1,172,87
252,standard,8,3387,191,23,0,84,43
253,shelljs,8,3387,191,23,0,84,43
254,twig/twig,8,3006,768,90,0,231,212
255,faraday,8,2885,428,82,1,72,98
256,haml,8,2850,456,45,0,93,123
257,supertest,8,2872,224,83,1,60,40
258,doctrine/orm,8,2838,1407,880,0,280,413
259,nock,8,2778,232,20,1,54,106
260,gm,8,2761,288,105,1,109,58
261,rspec-rails,8,2599,512,43,0,90,199
262,Newtonsoft.Json,8,,,,,,
263,bunyan,8,2444,184,123,1,79,30
264,mail,8,2345,552,191,1,73,146
265,node-sass,8,2251,317,87,0,105,128
266,selenium-webdriver,8,2244,1282,241,1,436,157
267,optimist,8,2157,130,10,1,63,14
268,nconf,8,2157,130,10,1,63,14
269,joi,8,1980,258,36,1,102,80
270,thin,8,,,,,,
271,database_cleaner,9,1665,332,85,1,35,133
272,warden,9,1623,118,10,1,45,26
273,xml2js,9,1586,203,59,0,44,37
274,factory_girl_rails,9,1448,161,25,0,51,26
275,classnames,9,1479,64,2,1,23,11
276,mysql2,9,1402,324,33,0,77,85
277,oj,9,1196,72,5,1,23,37
278,blanket,9,1185,172,118,1,46,66
279,yajl-ruby,9,1137,138,47,0,24,33
280,ffi,9,1134,154,37,1,43,59
281,event-stream,9,1085,70,20,1,39,31
282,guard-rspec,9,876,176,8,1,19,82
283,JSONStream,9,869,68,20,1,36,19
284,jwt,9,869,68,20,1,36,19
285,proxyquire,9,827,32,4,1,16,15
286,addressable,9,787,112,24,1,22,48
287,coffeelint,9,745,144,50,0,20,63
288,pry-byebug,9,724,55,8,1,25,20
289,rspec-core,9,712,505,29,0,57,245
290,eslint-plugin-react,9,711,92,57,1,28,48
291,grunt-contrib-concat,9,672,147,18,1,32,23
292,grunt-contrib-cssmin,9,663,127,18,1,31,31
293,grunt-contrib-less,9,629,167,30,1,37,53
294,terminal-table,9,619,75,7,1,16,17
295,rspec-mocks,9,618,218,25,1,33,116
296,i18n,9,550,216,105,1,28,71
297,vinyl,9,533,32,4,0,16,22
298,grunt-cli,9,517,152,17,1,51,17
299,css-loader,9,501,73,76,1,19,19
300,grunt-browserify,9,500,141,29,1,16,50
301,launchy,10,497,38,6,1,12,15
302,gulp-plumber,10,450,9,13,1,13,8
303,uglifier,10,423,49,3,1,11,24
304,RedCloth,10,418,81,5,1,6,23
305,grunt-karma,10,418,103,48,0,13,29
306,qs,10,418,58,13,1,20,27
307,karma-coverage,10,396,145,36,0,33,38
308,gulp-less,10,375,98,5,1,23,26
309,brfs,10,365,27,24,1,11,8
310,gulp-notify,10,365,27,16,1,12,10
311,readable-stream,10,369,62,18,1,57,17
312,graceful-fs,10,362,31,5,1,15,11
313,rc,10,350,37,4,1,14,17
314,grunt-mocha-test,10,344,44,3,1,9,21
315,precommit-hook,10,340,38,2,1,12,9
316,request-promise,10,332,39,7,1,17,13
317,cookie-parser,10,295,39,2,0,21,7
318,meow,10,283,12,3,0,7,6
319,grunt-jscs,10,241,42,0,1,19,17
320,gulp-eslint,10,199,59,4,1,9,25
321,coffeeify,10,189,30,0,1,6,9
322,gulp-filter,10,181,20,3,0,9,7
323,mime-types,10,180,95,8,1,15,28
324,coffee-rails,10,165,52,0,1,36,21
325,serve-favicon,10,162,23,0,0,13,6
326,opn,10,153,9,2,0,11,4
327,term-ansicolor,10,145,24,5,1,4,4
328,grunt-eslint,10,132,34,1,0,12,15
329,test-unit,10,,,,,,
330,sprockets,10,97,497,20,0,46,110
331,execjs,11,47,181,10,0,21,35
332,gulp-header,11,41,10,2,1,5,9
333,mocha-lcov-reporter,11,36,9,2,1,3,4
334,bootstrap,11,,,,,,
335,twbs/bootstrap,11,90207,38180,414,0,5731,652
336,react-addons-pure-render-mixin,11,33093,5302,589,1,2435,564
337,react-addons-update,11,33093,5302,589,1,2435,564
338,three,11,33093,5302,589,1,2435,564
339,ember-source,11,33093,5302,589,1,2435,564
340,lodash.isfunction,11,12434,1156,0,1,452,162
341,lodash.merge,11,12434,1156,0,1,452,162
342,lodash.isarray,11,12434,1156,0,1,452,162
343,lodash.isstring,11,12434,1156,0,1,452,162
344,lodash.foreach,11,12434,1156,0,1,452,162
345,lodash.isplainobject,11,12434,1156,0,1,452,162
346,lodash.isnumber,11,12434,1156,0,1,452,162
347,coffee-script-source,11,,,,,,
348,babel-plugin-transform-runtime,11,12316,758,174,0,457,163
349,babel-preset-stage-2,11,12316,758,174,0,457,163
350,redux,11,10808,1093,38,0,565,208
351,bootstrap-sass,11,10017,2386,6,0,601,97
352,codemirror,11,,,,,,
353,koa,11,8028,624,34,1,492,82
354,paperclip,11,7513,1657,124,1,187,309
355,simple_form,11,5695,923,39,1,192,182
356,better_errors,11,5541,333,34,1,188,57
357,will_paginate,11,4565,706,107,1,79,42
358,twitter-bootstrap-rails,11,4254,1023,32,1,194,193
359,co,11,4262,285,13,1,193,50
360,puma,11,3761,485,65,1,142,168
361,delayed_job,12,3706,747,90,1,71,136
362,puppet,12,3700,1539,26,0,433,408
363,slim,12,3675,327,14,1,116,57
364,qunitjs,12,3333,689,50,0,157,111
365,jest-cli,12,3315,366,99,1,136,101
366,socket.io-client,12,3315,366,99,1,136,101
367,virtus,12,2919,190,47,1,81,56
368,esprima,12,2815,467,22,1,140,49
369,ember-cli,12,2710,777,259,1,301,296
370,vcr,12,2703,293,41,1,52,82
371,typhoeus,12,2633,300,40,0,54,100
372,http-server,12,2566,358,64,1,103,48
373,es6-promise,12,2566,358,64,1,103,48
374,sequel,12,,,,,,
375,aasm,12,2155,332,48,1,34,84
376,octokit,12,2155,332,48,1,34,84
377,inquirer,12,2155,332,48,1,34,84
378,spring,12,2040,188,60,1,77,69
379,timecop,12,1921,117,33,1,32,38
380,jsonwebtoken,12,1863,142,39,0,114,33
381,thoughtbot-shoulda,12,1851,192,2,0,48,54
382,shoulda,12,1851,192,2,0,48,54
383,levelup,12,1813,142,54,1,86,25
384,benchmark,12,1813,142,54,1,86,25
385,restler,12,1676,334,77,1,64,41
386,clean-css,12,1633,146,54,1,64,44
387,arel,12,1525,330,68,1,60,117
388,vows,12,1525,330,68,1,60,117
389,chokidar,12,1360,127,30,0,47,42
390,sqlite3,12,1355,207,108,1,139,33
391,html-minifier,13,1242,147,71,1,48,54
392,mongo,13,1214,388,2,1,45,121
393,pimple/pimple,13,1187,200,7,0,110,31
394,string,13,1187,200,7,0,110,31
395,config,13,1114,129,17,1,35,49
396,nan,13,1070,165,19,1,98,48
397,diff,13,1069,75,5,1,31,22
398,git,13,1034,331,131,1,26,41
399,fakeweb,13,972,103,29,0,13,19
400,escodegen,13,979,147,68,1,52,38
401,promise,13,947,116,10,1,37,21
402,grunt-newer,13,905,45,33,1,25,4
403,phpspec/phpspec,13,901,177,81,1,75,87
404,passport-local,13,873,363,17,1,42,14
405,dotenv,13,859,54,5,0,24,20
406,progress,13,859,54,5,0,24,20
407,grunt-autoprefixer,13,818,58,2,0,30,18
408,mocha-phantomjs,13,816,112,9,1,25,33
409,minimatch,13,772,65,18,1,32,14
410,browserify-shim,13,743,65,7,1,23,16
411,listen,13,739,112,18,1,37,47
412,kramdown,13,734,140,17,1,36,35
413,mocha,13,734,114,46,1,15,35
414,htmlparser2,13,707,107,22,1,29,29
415,chunky_png,13,,,,,,
416,autoprefixer-rails,13,706,32,4,1,15,19
417,laravel-elixir,13,706,190,17,0,67,62
418,semantic-release,13,711,35,26,1,23,14
419,excon,13,671,170,66,1,25,103
420,lru-cache,13,659,90,3,1,34,22
421,gulp-rev,14,642,113,6,0,21,20
422,mime,14,645,129,15,1,18,33
423,rack-cache,14,616,102,39,0,18,27
424,power-assert,14,605,13,2,1,36,7
425,appraisal,14,590,46,0,0,32,34
426,grunt-contrib-connect,14,586,110,27,1,20,35
427,gulp-uncss,14,580,18,1,1,16,4
428,rubyzip,14,580,162,42,1,24,77
429,oauth,14,526,207,55,1,18,55
430,colorize,14,500,51,4,0,11,9
431,parslet,14,494,58,10,1,16,22
432,httpclient,14,490,160,43,1,26,47
433,through,14,486,34,13,1,14,11
434,browser,14,,,,,,
435,archiver,14,461,65,12,0,25,11
436,crack,14,461,77,16,1,13,27
437,grunt-svgmin,14,412,35,0,0,23,14
438,envify,14,397,18,6,1,9,8
439,vinyl-fs,14,397,18,6,1,9,8
440,wrench,14,390,74,28,1,11,29
441,minitest-reporters,14,390,74,28,1,11,29
442,dateformat,14,352,42,6,1,14,14
443,doctrine/common,14,344,245,75,1,47,95
444,uuidtools,14,346,49,11,1,5,9
445,nopt,14,338,25,13,1,26,12
446,poison,14,326,39,5,1,20,15
447,update-notifier,14,314,30,4,0,18,18
448,serve-static,14,309,53,1,0,19,7
449,lab,14,304,93,37,0,43,62
450,concat-stream,14,290,29,6,1,8,15
451,backports,15,253,22,8,0,9,8
452,gulp-typescript,15,250,67,12,1,17,23
453,symfony/console,15,246,79,3,0,25,168
454,vinyl-source-stream,15,242,9,6,1,4,6
455,omniauth-oauth2,15,218,124,21,1,15,20
456,gulp-replace,15,200,48,9,1,8,12
457,hoek,15,184,46,4,1,58,28
458,inherits,15,184,35,8,1,13,2
459,symfony/yaml,15,182,70,0,0,17,103
460,xtend,15,173,21,1,1,4,11
461,method-override,15,151,13,0,0,10,4
462,gulp-template,15,149,49,0,0,14,5
463,autoprefixer-core,15,144,34,0,1,11,61
464,tzinfo,15,139,25,1,1,13,7
465,karma-phantomjs-launcher,15,131,104,29,0,16,11
466,style-loader,15,132,49,35,1,10,20
467,jasmine,15,126,39,8,1,19,12
468,extend,15,123,25,2,0,7,12
469,tap-spec,15,101,13,5,1,5,8
470,matchdep,15,101,13,5,1,5,8
471,rustc-serialize,15,101,13,5,1,5,8
472,yiisoft/yii2,15,88,68,0,0,34,334
473,yosay,15,86,18,3,0,15,7
474,symfony/validator,15,80,40,0,0,11,255
475,gulp-jasmine,15,79,38,4,0,7,9
476,code,15,82,16,0,1,24,10
477,karma-chrome-launcher,15,65,41,14,0,10,11
478,grunt-contrib-nodeunit,15,63,19,6,1,5,12
479,grunt-mocha-istanbul,15,58,19,7,0,3,15
480,merge-stream,15,59,11,0,1,5,7
481,xml-simple,16,50,16,0,1,2,7
482,broccoli-asset-rev,16,46,41,6,1,5,26
483,ember-cli-htmlbars,16,45,19,6,1,15,15
484,grunt-mocha-cli,16,36,22,0,0,2,4
485,erubis,16,21,12,6,1,3,1
486,ember-cli-qunit,16,15,36,12,1,7,26
487,ember-cli-inject-live-reload,16,8,19,6,1,2,7
488,ember-cli-uglify,16,4,6,1,1,4,4
489,twitter/bootstrap,16,90207,38180,414,0,5731,652
490,angular-aria,16,7343,1939,742,1,1014,184
491,angular-touch,16,7343,1939,742,1,1014,184
492,angular-messages,16,7343,1939,742,1,1014,184
493,angular-cookies,16,7343,1939,742,1,1014,184
494,angular-resource,16,7343,1939,742,1,1014,184
495,fortawesome/font-awesome,16,38162,6419,3219,1,867,57
496,jQuery,16,,,,,,
497,react-native,16,24007,3989,1084,1,1684,439
498,normalize.css,16,24007,3989,1084,1,1684,439
499,lodash._isiterateecall,16,12434,1156,0,1,452,162
500,lodash.uniq,16,12434,1156,0,1,452,162
501,lodash.defaults,16,12434,1156,0,1,452,162
502,lodash.pick,16,12434,1156,0,1,452,162
503,lodash.omit,16,12434,1156,0,1,452,162
504,lodash.isobject,16,12434,1156,0,1,452,162
505,lodash.throttle,16,12434,1156,0,1,452,162
506,lodash.pluck,16,12434,1156,0,1,452,162
507,lodash.clone,16,12434,1156,0,1,452,162
508,lodash.difference,16,12434,1156,0,1,452,162
509,lodash.filter,16,12434,1156,0,1,452,162
510,lodash.flatten,16,12434,1156,0,1,452,162
511,lodash.debounce,17,12434,1156,0,1,452,162
