Title	Venue	Year	Authors
Experiences in Teaching Software Evolution and Program Comprehension.	IWPC	2003	["Arie van Deursen", "Jean-Marie Favre", "Rainer Koschke", "Juergen Rilling"]
Towards a Clone Detection Benchmark Suite and Results Archive.	IWPC	2003	["Arun Lakhotia", "Junwei Li", "Andrew Walenstein", "Yun Yang"]
TALK2C: A Tool for Automatic Migratio.	IWPC	2003	["S. Dhinakar Jacob", "Madhuchhanda Das"]
Comprehending and Visualizing Software Based on XML - Representations and Call Graphs.	IWPC	2003	["Marbod Hopfner", "Dietmar Seipel", "J\u00fcrgen Wolff von Gudenberg"]
Visualizing Interactions in Distributed Java Applications.	IWPC	2003	["Nishant Bawa", "Sudipto Ghosh"]
CrocoPat: Efficient Pattern Analysis in Object-Oriented Programs.	IWPC	2003	["Dirk Beyer", "Claus Lewerentz"]
Isolating Cause-Effect Chains with AskIgo.	IWPC	2003	["Andreas Zeller"]
gccXfront: Exploiting gcc as a Front End for Program Comprehension Tools via XML/XSLT.	IWPC	2003	["Mark Hennessy", "Brian A. Malloy", "James F. Power"]
11th International Workshop on Program Comprehension (IWPC 2003), May 10-11, 2003, Portland, Oregon, USA.		2003	[]
An Open Visualization Toolkit for Reverse Architecting.	IWPC	2002	["Alexandru Telea", "Alessandro Maccari", "Claudio Riva"]
Experience with FADE for the Visualization and Abstraction of Software Views.	IWPC	2002	["Aaron J. Quigley"]
Mining System-User Interaction Traces for Use Case Models.	IWPC	2002	["Mohammad El-Ramly", "Eleni Stroulia", "Paul G. Sorenson"]
Comprehension of Object-Oriented Software Cohesion: The Empirical Quagmire.	IWPC	2002	["Steve Counsell", "Emilia Mendes", "Stephen Swift"]
Aspects of Internal Program Documentation - An Elucidative Perspective.	IWPC	2002	["Thomas Vestdam", "Kurt N\u00f8rmark"]
Pattern-Supported Architecture Recovery.	IWPC	2002	["Martin Pinzger", "Harald C. Gall"]
Where's the Schema? A Taxonomy of Patterns for Software Exchange.	IWPC	2002	["Dean Jin", "James R. Cordy", "Thomas R. Dean"]
Theory-based Analysis of Cognitive Support in Software Comprehension Tools.	IWPC	2002	["Andrew Walenstein"]
Enhancing Program Comprehension with Recovered State Models.	IWPC	2002	["St\u00e9phane S. Som\u00e9", "Timothy Lethbridge"]
An Empirical Study of the Effect of Semantic Differences on Programmer Comprehension.	IWPC	2002	["David Binkley"]
Evaluating Using Animation to Improve Understanding of Sequence Diagrams.	IWPC	2002	["Elizabeth Burd", "Dawn Overy", "Ady Wheetman"]
On Using a Benchmark to Evaluate C++ Extractors.	IWPC	2002	["Susan Elliott Sim", "Richard C. Holt", "Steve M. Easterbrook"]
An Integrated Approach for Studying Architectural Evolution.	IWPC	2002	["Qiang Tu", "Michael W. Godfrey"]
Building Program Understanding Tools Using Visitor Combinators.	IWPC	2002	["Arie van Deursen", "Joost Visser"]
Program Comprehension Experiences with GXL; Comprehension for Comprehension.	IWPC	2002	["Claire Knight", "Malcolm Munro"]
Compression Techniques to Simplify the Analysis of Large Execution Traces.	IWPC	2002	["Abdelwahab Hamou-Lhadj", "Timothy Lethbridge"]
Dependence-Cache Slicing: A Program Slicing Method Using Lightweight Dynamic Information.	IWPC	2002	["Tomonori Takada", "Fumiaki Ohata", "Katsuro Inoue"]
Architecture Recovery of Dynamically Linked Applications: A Case Study.	IWPC	2002	["Igor Ivkovic", "Michael W. Godfrey"]
Fused Data-Centric Visualizations for Software Evolution Environments.	IWPC	2002	["Jens H. Jahnke", "Hausi A. M\u00fcller", "Andrew Walenstein", "Nikolai Mansurov", "Kenny Wong"]
Evolving Ispell: A Case Study of Program Understanding for Reuse.	IWPC	2002	["Lerina Aversano", "Gerardo Canfora", "Andrea De Lucia", "Silvio Stefanucci"]
Traceability Recovery in RAD Software Systems.	IWPC	2002	["Massimiliano Di Penta", "Sara Gradara", "Giuliano Antoniol"]
Lightweight Impact Analysis using Island Grammars.	IWPC	2002	["Leon Moonen"]
Relocating XML Elements from Preprocessed to Unprocessed Code.	IWPC	2002	["Anthony Cox", "Charles L. A. Clarke"]
Using Graph Patterns to Extract Scenarios.	IWPC	2002	["Jingwei Wu", "Ahmed E. Hassan", "Richard C. Holt"]
Slicing Aspect-Oriented Software.	IWPC	2002	["Jianjun Zhao"]
Comprehending Web Applications by a Clustering Based Approach.	IWPC	2002	["Giuseppe A. Di Lucca", "Anna Rita Fasolino", "F. Pace", "Porfirio Tramontana", "Ugo de Carlini"]
The Role of Concepts in Program Comprehension.	IWPC	2002	["V\u00e1clav Rajlich", "Norman Wilde"]
Constructivism and Program Comprehension Strategies.	IWPC	2002	["Christopher Exton"]
On Selecting Software Visualization Tools for Program Understanding in an Industrial Context.	IWPC	2002	["Scott R. Tilley", "Shihong Huang"]
Source Code Files as Structured Documents.	IWPC	2002	["Jonathan I. Maletic", "Michael L. Collard", "Andrian Marcus"]
10th International Workshop on Program Comprehension (IWPC 2002), 27-29 June 2002, Paris, France.		2002	[]
Systems Evolution, Components and Services: Understanding the New Software Environment.	IWPC	2001	["Keith H. Bennett"]
Software Visualization Tools: Survey and Analysis.	IWPC	2001	["Sarita Bassil", "Rudolf K. Keller"]
Mediating Diverse Visualisations for Comprehension.	IWPC	2001	["Claire Knight", "Malcolm Munro"]
Visualizing Object-Oriented Software in Virtual Reality.	IWPC	2001	["Jonathan I. Maletic", "Andrian Marcus", "Greg Dunlap", "Jason Leigh"]
Effects of Pointers on Data Dependences.	IWPC	2001	["Alessandro Orso", "Saurabh Sinha", "Mary Jean Harrold"]
Program Slice Browser.	IWPC	2001	["Yunbo Deng", "Suraj C. Kothari", "Yogy Namara"]
Understanding Distributed Systems via Execution Trace Data.	IWPC	2001	["Johan Moe", "David A. Carr"]
Inference-Based and Expectation-Based Processing in Program Comprehension.	IWPC	2001	["Michael P. O'Brien", "Jim Buckley"]
Navigation and Comprehension of Programs by Novice Programmers.	IWPC	2001	["Russell Mosemann", "Susan Wiedenbeck"]
Backward Conditioning: A New Program Specialisation Technique and Its Application to Program Comprehension.	IWPC	2001	["Chris Fox", "Sebastian Danicic", "Mark Harman", "Robert M. Hierons"]
Simplicity: A Key Engineering Concept for Program Understanding.	IWPC	2001	["Yang Li", "Hongji Yang"]
SHriMP Views: An Interactive Environment for Exploring Java Programs.	IWPC	2001	["Margaret-Anne D. Storey", "Casey Best", "Jeff Michaud"]
Automated Analysis of Scientific and Engineering Semantics.	IWPC	2001	["Mark E. M. Stewart"]
Alborz: A Query-based Tool for Software Architecture Recovery.	IWPC	2001	["Kamran Sartipi"]
Report from the Dagstuhl Seminar on Interoperability of Reengineering Tools.	IWPC	2001	["Timothy Lethbridge"]
Structure-Behavior-Function Program Understanding.	IWPC	2001	["Eleni Stroulia", "Tarja Syst\u00e4"]
Software Architecture: Leverage for System/Program Comprehension.	IWPC	2001	["Dewayne E. Perry"]
Processing Software Source Text in Automated Design Recovery and Transformation.	IWPC	2001	["Andrew J. Malton", "Kevin A. Schneider", "James R. Cordy", "Thomas R. Dean", "Darren Cousineau", "Jason Reynolds"]
A Flexible Method for Segmentation in Concept Assignmen.	IWPC	2001	["Nicolas Gold", "Keith H. Bennett"]
HSML: Design Directed Source Code Hot Spots.	IWPC	2001	["James R. Cordy", "Kevin A. Schneider", "Thomas R. Dean", "Andrew J. Malton"]
Reverse Engineering Meets Data Analysis.	IWPC	2001	["Periklis Andritsos", "Ren\u00e9e J. Miller"]
Extracting Business Logic from Existing COBOL Programs as a Basis for Redevelopment.	IWPC	2001	["Harry M. Sneed"]
An Algebraic Notation for Representing Threads in Object Oriented Software Comprehension.	IWPC	2001	["Giuseppe A. Di Lucca", "Anna Rita Fasolino", "Ugo de Carlini"]
Spreading Knowledge about Gnutella: A Case Study in Understanding Net-Centric Applications.	IWPC	2001	["Scott R. Tilley", "Mohan DeSouza"]
Understanding and Improving the Maintenance Process: A Method and Two Case Studies.	IWPC	2001	["Lerina Aversano", "Gerardo Canfora", "Silvio Stefanucci"]
Comparing Graph-Based Program Comprehension Tools to Relational Database-Based Tools.	IWPC	2001	["Carola Lange", "Andreas Winter", "Harry M. Sneed"]
A Suite of Tools for Facilitating Reverse Engineering Using Formal Methods.	IWPC	2001	["Gerald C. Gannod", "Betty H. C. Cheng"]
GSEE: A Generic Software Exploration Environment.	IWPC	2001	["Jean-Marie Favre"]
Adoption of Reverse Engineering Tools: A Cognitive Perspective and Methodology.	IWPC	2001	["Iyad Zayour", "Timothy Lethbridge"]
A Software Evaluation Model Using Component Association Views.	IWPC	2001	["Kamran Sartipi"]
An Architectural Connectivity Metric and Its Support for Incremental Re-Architecting of Large Legacy Systems.	IWPC	2001	["Reinder J. Bril", "Andr\u00e9 Postma"]
A Method to Re-Organize Legacy Systems via Concept Analysis.	IWPC	2001	["Giuliano Antoniol", "Massimiliano Di Penta", "Gerardo Casazza", "Ettore Merlo"]
Hidden Dependencies in Program Comprehension and Change Propagation.	IWPC	2001	["Zhifeng Yu", "Vaclav Rajlich"]
Feature-Driven Program Understanding Using Concept Analysis of Execution Traces.	IWPC	2001	["Thomas Eisenbarth", "Rainer Koschke", "Daniel Simon"]
Side-Effect Removal Transformation.	IWPC	2001	["Mark Harman", "Malcolm Munro", "Lin Hu", "Xingyuan Zhang"]
Research Challenges in the Reverse Engineering Community.	IWPC	2001	["Kenny Wong"]
