Title	Venue	Year	Authors
Storage strategies for collections in dynamically typed languages.	OOPSLA	2013	["Carl Friedrich Bolz", "Lukas Diekmann", "Laurence Tratt"]
Instant pickles: generating object-oriented pickler combinators for fast and extensible serialization.	OOPSLA	2013	["Heather Miller", "Philipp Haller", "Eugene Burmako", "Martin Odersky"]
Interacting with dead objects.	OOPSLA	2013	["Robin Salkeld", "Gregor Kiczales"]
Python: the full monty.	OOPSLA	2013	["Joe Gibbs Politz", "Alejandro Martinez", "Matthew Milano", "Sumner Warren", "Daniel Patterson", "Junsong Li", "Anand Chitipothu", "Shriram Krishnamurthi"]
Forsaking inheritance: supercharged delegation in DelphJ.	OOPSLA	2013	["Prodromos Gerakios", "Aggelos Biboudis", "Yannis Smaragdakis"]
Set-based pre-processing for points-to analysis.	OOPSLA	2013	["Yannis Smaragdakis", "George Balatsouras", "George Kastrinis"]
MrCrypt: static analysis for secure cloud computations.	OOPSLA	2013	["Sai Deep Tetali", "Mohsen Lesani", "Rupak Majumdar", "Todd D. Millstein"]
Ironclad C++: a library-augmented type-safe subset of c++.	OOPSLA	2013	["Christian DeLozier", "Richard A. Eisenberg", "Santosh Nagarakatte", "Peter-Michael Osera", "Milo M. K. Martin", "Steve Zdancewic"]
Flexible access control for javascript.	OOPSLA	2013	["Gregor Richards", "Christian Hammer", "Francesco Zappa Nardelli", "Suresh Jagannathan", "Jan Vitek"]
Semi-automatic rename refactoring for JavaScript.	OOPSLA	2013	["Asger Feldthaus", "Anders M\u00f8ller"]
Refactoring with synthesis.	OOPSLA	2013	["Veselin Raychev", "Max Sch\u00e4fer", "Manu Sridharan", "Martin T. Vechev"]
Bottle graphs: visualizing scalability bottlenecks in multi-threaded applications.	OOPSLA	2013	["Kristof Du Bois", "Jennifer B. Sartor", "Stijn Eyerman", "Lieven Eeckhout"]
Ball-Larus path profiling across multiple loop iterations.	OOPSLA	2013	["Daniele Cono D'Elia", "Camil Demetrescu"]
Data-driven equivalence checking.	OOPSLA	2013	["Rahul Sharma", "Eric Schkufza", "Berkeley R. Churchill", "Alex Aiken"]
Synthesis modulo recursive functions.	OOPSLA	2013	["Etienne Kneuss", "Ivan Kuraj", "Viktor Kuncak", "Philippe Suter"]
Code optimizations using formally verified properties.	OOPSLA	2013	["Yao Shi", "Bernard Blackham", "Gernot Heiser"]
Inductive invariant generation via abductive inference.	OOPSLA	2013	["Isil Dillig", "Thomas Dillig", "Boyang Li", "Kenneth L. McMillan"]
Do developers benefit from generic types?: an empirical comparison of generic and raw types in java.	OOPSLA	2013	["Michael Hoppe", "Stefan Hanenberg"]
Option contracts.	OOPSLA	2013	["Christos Dimoulas", "Robert Bruce Findler", "Matthias Felleisen"]
Language support for dynamic, hierarchical data partitioning.	OOPSLA	2013	["Sean Treichler", "Michael Bauer", "Alex Aiken"]
Class hierarchy complementation: soundly completing a partial type graph.	OOPSLA	2013	["George Balatsouras", "Yannis Smaragdakis"]
Multiverse: efficiently supporting distributed high-level speculation.	OOPSLA	2013	["Kaushik Ravichandran", "Santosh Pande"]
Fully concurrent garbage collection of actors on many-core machines.	OOPSLA	2013	["Sylvan Clebsch", "Sophia Drossopoulou"]
Isolation for nested task parallelism.	OOPSLA	2013	["Jisheng Zhao", "Roberto Lublinerman", "Zoran Budimlic", "Swarat Chaudhuri", "Vivek Sarkar"]
Turning nondeterminism into parallelism.	OOPSLA	2013	["Omer Tripp", "Eric Koskinen", "Mooly Sagiv"]
Barrier invariants: a shared state abstraction for the analysis of data-dependent GPU kernels.	OOPSLA	2013	["Nathan Chong", "Alastair F. Donaldson", "Paul H. J. Kelly", "Jeroen Ketema", "Shaz Qadeer"]
Guided GUI testing of android apps with minimal restart and approximate learning.	OOPSLA	2013	["Wontae Choi", "George C. Necula", "Koushik Sen"]
Targeted and depth-first exploration for systematic testing of android apps.	OOPSLA	2013	["Tanzirul Azim", "Iulian Neamtiu"]
The latency, accuracy, and battery (LAB) abstraction: programmer productivity and energy efficiency for continuous mobile context sensing.	OOPSLA	2013	["Aman Kansal", "T. Scott Saponas", "A. J. Bernheim Brush", "Kathryn S. McKinley", "Todd Mytkowicz", "Ryder Ziola"]
Input-covering schedules for multithreaded programs.	OOPSLA	2013	["Tom Bergan", "Luis Ceze", "Dan Grossman"]
