Title	Venue	Year	Authors
An Observe-Model-Exercise* Paradigm to Test Event-Driven Systems with Undetermined Input Spaces.	IEEE Trans. Software Eng.	2014	["Bao N. Nguyen", "Atif M. Memon"]
Governing Software Process Improvementsin Globally Distributed Product Development.	IEEE Trans. Software Eng.	2014	["Narayan Ramasubbu"]
iTree: Efficiently Discovering High-Coverage Configurations Using Interaction Trees.	IEEE Trans. Software Eng.	2014	["Charles Song", "Adam A. Porter", "Jeffrey S. Foster"]
Magiclock: Scalable Detection ofPotential Deadlocks in Large-ScaleMultithreaded Programs.	IEEE Trans. Software Eng.	2014	["Yan Cai", "W. K. Chan"]
Variability in Software Systems - A Systematic Literature Review.	IEEE Trans. Software Eng.	2014	["Matthias Galster", "Danny Weyns", "Dan Tofan", "Bartosz Michalik", "Paris Avgeriou"]
You Are the Only Possible Oracle: Effective Test Selection for End Users of Interactive Machine Learning Systems.	IEEE Trans. Software Eng.	2014	["Alex Groce", "Todd Kulesza", "Chaoqiang Zhang", "Shalini Shamasunder", "Margaret M. Burnett", "Weng-Keen Wong", "Simone Stumpf", "Shubhomoy Das", "Amber Shinsel", "Forrest Bice", "Kevin McIntosh"]
A Model-Driven Methodology for Developing Secure Data-Management Applications.	IEEE Trans. Software Eng.	2014	["David A. Basin", "Manuel Clavel", "Marina Egea", "Miguel Angel Garc\u00eda de Dios", "Carolina Dania"]
Analyzing Critical Decision-Based Processes.	IEEE Trans. Software Eng.	2014	["Christophe Damas", "Bernard Lambeau", "Axel van Lamsweerde"]
Automatic Summarization of Bug Reports.	IEEE Trans. Software Eng.	2014	["Sarah Rastkar", "Gail C. Murphy", "Gabriel Murray"]
Effects of Developer Experience on Learningand Applying Unit Test-Driven Development.	IEEE Trans. Software Eng.	2014	["Roberto Latorre"]
On the Asymptotic Behavior of Adaptive Testing Strategy for Software Reliability Assessment.	IEEE Trans. Software Eng.	2014	["Junpeng Lv", "Bei-Bei Yin", "Kai-Yuan Cai"]
Synthesizing Multithreaded Code from Real-Time Object-Oriented Models via Schedulability-Aware Thread Derivation.	IEEE Trans. Software Eng.	2014	["Saehwa Kim"]
Automated Fixing of Programs with Contracts.	IEEE Trans. Software Eng.	2014	["Yu Pei", "Carlo A. Furia", "Martin Nordio", "Yi Wei", "Bertrand Meyer", "Andreas Zeller"]
Conservation of Information: Software'sHidden Clockwork?	IEEE Trans. Software Eng.	2014	["Les Hatton"]
Formulating Cost-Effective Monitoring Strategies for Service-Based Systems.	IEEE Trans. Software Eng.	2014	["Qiang He", "Jun Han", "Yun Yang", "Hai Jin", "Jean-Guy Schneider", "Steven Versteeg"]
Modular Software Model Checking for Distributed Systems.	IEEE Trans. Software Eng.	2014	["Watcharin Leungwattanakit", "Cyrille Artho", "Masami Hagiya", "Yoshinori Tanabe", "Mitsuharu Yamamoto", "Koichi Takahashi"]
REPENT: Analyzing the Nature of Identifier Renamings.	IEEE Trans. Software Eng.	2014	["Venera Arnaoudova", "Laleh Mousavi Eshkevari", "Massimiliano Di Penta", "Rocco Oliveto", "Giuliano Antoniol", "Yann-Ga\u00ebl Gu\u00e9h\u00e9neuc"]
Bayesian Networks For Evidence-Based Decision-Making in Software Engineering.	IEEE Trans. Software Eng.	2014	["Ayse Tosun Misirli", "Ayse Basar Bener"]
Dealing with Traceability in the MDDof Model Transformations.	IEEE Trans. Software Eng.	2014	["Juan Manuel Vara", "Ver\u00f3nica Andrea Bollati", "\u00c1lvaro Jim\u00e9nez", "Esperanza Marcos"]
GEA: A Goal-Driven Approach toDiscovering Early Aspects.	IEEE Trans. Software Eng.	2014	["Jonathan Lee", "Kuo-Hsun Hsu"]
Researcher Bias: The Use of Machine Learning in Software Defect Prediction.	IEEE Trans. Software Eng.	2014	["Martin J. Shepperd", "David Bowes", "Tracy Hall"]
Static Analysis for Extracting Permission Checks of a Large Scale Framework: The Challenges and Solutions for Analyzing Android.	IEEE Trans. Software Eng.	2014	["Alexandre Bartel", "Jacques Klein", "Martin Monperrus", "Yves Le Traon"]
An Empirical Study of RefactoringChallenges and Benefits at Microsoft.	IEEE Trans. Software Eng.	2014	["Miryung Kim", "Thomas Zimmermann", "Nachiappan Nagappan"]
Bypassing the Combinatorial Explosion: Using Similarity to Generate and Prioritize T-Wise Test Configurations for Software Product Lines.	IEEE Trans. Software Eng.	2014	["Christopher Henard", "Mike Papadakis", "Gilles Perrouin", "Jacques Klein", "Patrick Heymans", "Yves Le Traon"]
Methodbook: Recommending Move Method Refactorings via Relational Topic Models.	IEEE Trans. Software Eng.	2014	["Gabriele Bavota", "Rocco Oliveto", "Malcom Gethers", "Denys Poshyvanyk", "Andrea De Lucia"]
SymbexNet: Testing Network Protocol Implementations with Symbolic Execution and Rule-Based Specifications.	IEEE Trans. Software Eng.	2014	["JaeSeung Song", "Cristian Cadar", "Peter Pietzuch"]
Symbolic Crosschecking of Data-Parallel Floating-Point Code.	IEEE Trans. Software Eng.	2014	["Peter Collingbourne", "Cristian Cadar", "Paul H. J. Kelly"]
An Empirical Analysis of Business Process Execution Language Usage.	IEEE Trans. Software Eng.	2014	["Matej Hertis", "Matjaz B. Juric"]
Managing Technical Debt in EnterpriseSoftware Packages.	IEEE Trans. Software Eng.	2014	["Narayan Ramasubbu", "Chris F. Kemerer"]
Predicting Consistency-Maintenance Requirement of Code Clonesat Copy-and-Paste Time.	IEEE Trans. Software Eng.	2014	["Xiaoyin Wang", "Yingnong Dang", "Lu Zhang", "Dongmei Zhang", "Erica Lan", "Hong Mei"]
Specification and Verification of NormativeTexts Using C-O Diagrams.	IEEE Trans. Software Eng.	2014	["Gregorio D\u00edaz", "Mar\u00eda-Emilia Cambronero", "Enrique Mart\u00ednez", "Gerardo Schneider"]
Supporting Process Model Validation through Natural Language Generation.	IEEE Trans. Software Eng.	2014	["Henrik Leopold", "Jan Mendling", "Artem Polyvyanyy"]
A Cooperative Parallel Search-Based Software Engineering Approach for Code-Smells Detection.	IEEE Trans. Software Eng.	2014	["Wael Kessentini", "Marouane Kessentini", "Houari A. Sahraoui", "Slim Bechikh", "Ali Ouni"]
A General Testability Theory: Classes, Properties, Complexity, and Testing Reductions.	IEEE Trans. Software Eng.	2014	["Ismael Rodr\u00edguez", "Luis Llana", "Pablo Rabanal"]
A Scalable Approach to Exact Model and Commonality Counting for Extended Feature Models.	IEEE Trans. Software Eng.	2014	["David Fern\u00e1ndez-Amor\u00f3s", "Ruben Heradio", "Jos\u00e9 Antonio Cerrada", "Carlos Cerrada"]
GreenDroid: Automated Diagnosis of Energy Inefficiency for Smartphone Applications.	IEEE Trans. Software Eng.	2014	["Yepang Liu", "Chang Xu", "Shing-Chi Cheung", "Jian Lu"]
